CONTROLE DE ENTRADA DE PAIS / RESPONSÁVEIS,,,,,
HORA,PAIS / RESPONSÁVEIS,ALUNO,SÉRIE/TURMA,DESTINO,AUTORIZADO POR
14:48,MARCA085 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 85,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:55,MARCA086 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 86,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:02,MARCA087 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 87,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:09,MARCA088 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 88,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:16,MARCA089 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 89,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:23,MARCA090 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 90,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:30,MARCA091 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 91,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:37,MARCA092 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 92,9º D,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:44,MARCA093 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 93,6º A,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:51,MARCA094 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 94,7º B,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
14:58,MARCA095 MARIA DAS GRAÇAS DE ALBUQUERQUE CAVALCANTI SOBRINHO,JOÃO PEDRO DE ALBUQUERQUE CAVALCANTI SOBRINHO JÚNIOR 95,8º C,COORDENAÇÃO PEDAGÓGICA / SECRETARIA ESCOLAR / ENFERMARIA,1º SGT MATIAS - 1406213
